币种,价格,数量,方向,时间戳,可读时间,起始仓位,交易方向,平仓收益,交易哈希,订单ID,是否交叉成交,手续费,交易ID,手续费代币,TWAP ID,金库地址,是否平仓,关联订单ID
kBONK,0.04810818,207680.0,B,1732476962113,2024-11-25 03:36:02.113,0.0,Open Long,0.0,0xcb1037c0d0d0e6f36ed404179e0fca01da004afccc1befec00393f6efa032aff,49929318710,True,3.496884,763538713368832,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
kBONK,0.04740037,207680.0,A,1732478479042,2024-11-25 04:01:19.042,207680.0,Close Long,-146.961288,0x5bc42f1f50d65f480e1204179e6d5a0201ca002b4c3940c79d6739ce332a7ddf,49933564950,True,3.445437,727857640477999,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
SOL,250.67321377,359.08,B,1732484694243,2024-11-25 05:44:54.243,0.0,Open Long,0.0,0x6551edeb08a4f7ff9e5904179febc402012700872b1e642468c7b0d4766a917b,49950121208,True,31.504104,898377548443633,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
DOGE,0.43053,34838.0,B,1732486853237,2024-11-25 06:20:53.237,0.0,Open Long,0.0,0xdff8158fbf9aafa7810f0417a0709f018c00e8904c1181ccb5f6b70e7fb11f57,49955387113,True,5.249581,583194199422170,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
DOGE,0.42554,11751.0,B,1732487778300,2024-11-25 06:36:18.300,34838.0,Open Long,0.0,0x1f4fc7c3935af2bf07320417a0a99001ca00c304e8a559d0bb36a2f6279b294b,49957717199,True,1.750182,620909567627283,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
DOGE,0.42732569,11703.0,B,1732488805962,2024-11-25 06:53:25.962,46589.0,Open Long,0.0,0x454d3fc276f3bef42c250417a0e8ef0149006852c8d0e04d1c2d2426665c8623,49959263804,True,1.750345,414405607779331,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
ETH,3457.4,8.6749,A,1732535388117,2024-11-25 19:49:48.117,0.0,Open Short,0.0,0x99cb70ab65b3a65141420417ac1a170201de000a253e204cf1c0342f9bdd4ad0,50117545083,True,10.497409,520989872350680,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
TAO,524.12848218,9.54,B,1732535862274,2024-11-25 19:57:42.274,1.894,Open Long,0.0,0xad4566e7efc4f0a8974c0417ac374a01d400084286b441607da6c6937943e439,50119431983,True,1.750062,1122675732602709,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
ETH,3486.1,8.6749,B,1732537309122,2024-11-25 20:21:49.122,-8.6749,Close Short,-248.96963,0x8f2a3f956ec0d4f26e4b0417ac905201a50088ebec71d0f98e1410c60866aaa5,50125449675,True,10.584547,827324790465604,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
GRASS,2.73537244,3663.4,B,1732541378166,2024-11-25 21:29:38.166,60.2,Open Long,0.0,0xee9557cbd4984f89e0310417ad8b2302013100fb1c0df4ab974b347ad5e47384,50143910883,True,3.507262,754362106813709,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
GRASS,2.77599279,3603.8,B,1732542392054,2024-11-25 21:46:32.054,3783.9,Open Long,0.0,0x097c90fdedcc1b23a2dd0417adc9b3018c0082cdf7c5c86368bed52210844d92,50148668333,True,3.501438,725376977272806,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
TAO,499.55978466,15.975,A,1732547359880,2024-11-25 23:09:19.880,15.975,Close Long,-390.24074,0x9d93e0f8c5bb567410930417aefc820201d4005b6659d77b27e90175fb29951e,50177207134,True,2.793161,813667406738047,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
DOGE,0.40350354,58292.0,A,1732547360080,2024-11-25 23:09:20.080,58292.0,Close Long,-1479.24435,0x6b9f5b080b5c92e5a3020417aefc850201d0009579869451151bd800f0d1588e,50177208428,True,8.232358,248860839768328,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
GRASS,2.6624565,7387.7,A,1732547360085,2024-11-25 23:09:20.085,7387.7,Close Long,-684.126912,0xedc3aa1dc3d15ff12dd00417aefc8602022a008304c3afa5b24a65b5206ce779,50177209282,True,6.884294,818408943009690,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
SOL,240.08728083,359.08,A,1732547360492,2024-11-25 23:09:20.492,359.08,Close Long,-3801.191856,0xe9d43dc7c14299375b1e0417aefc8d02027000f9a176392342e67db244ec620b,50177211952,True,30.173683,750910722583992,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
ETH,3353.0,11.9251,A,1732547566648,2024-11-25 23:12:46.648,0.0,Open Short,0.0,0xcbcd5d1640ef487f51f60417af0958020245006d2b8bca746df995f8c80aab52,50178733013,True,13.994701,177393552286683,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
ETH,3386.29326043,11.9251,B,1732547663001,2024-11-25 23:14:23.001,-11.9251,Close Short,-397.02546,0xac2f1ce20e7e6985c25c0417af0f510202c3009e6138ccd9733a6bbfb60ea8b8,50179654808,True,14.133659,202775456022355,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
ETH,3449.2,1.1596,A,1732548789132,2024-11-25 23:33:09.132,0.0,Open Short,0.0,0xbb03bf542c9b41c0a3f90417af54f502018400aa164fe51b68d2daff1d76e817,50186601430,True,1.399892,835203171798936,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
ETH,3463.3,1.1596,B,1732549293393,2024-11-25 23:41:33.393,-1.1596,Close Short,-16.35036,0x91c04412e7d855d16fe60417af74240201df00dddf59093d1476203ab5551216,50189436055,True,1.405614,1059680828487129,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
SOL,243.56,8.21,B,1732549465888,2024-11-25 23:44:25.888,0.0,Open Long,0.0,0x93691314c34b958155dc0417af7ec80201580081166ea1b8b032de5d679ee0c9,50190143001,True,0.699869,524115505298423,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
SOL,243.87844667,368.95,B,1732549721294,2024-11-25 23:48:41.294,8.21,Open Long,0.0,0xbbdde49e2f8fd6b540c70417af8e7902011900bdc48f2ccb68ed2b19bb753727,50191365638,True,31.492628,790912793712360,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
SOL,244.23189972,377.16,A,1732549873445,2024-11-25 23:51:13.445,377.16,Close Long,135.92836,0xf130e0271f45d71d0dc50417af97da02012500cfe0a55c27a3c539f16c156bdd,50192040197,True,32.240074,269612062127521,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
SOL,244.48,81.81,B,1732549997684,2024-11-25 23:53:17.684,0.0,Open Long,0.0,0xa942370cebe9898a6f8f0417af9f8d0201030063dc46fee7d51534b0e037f7d3,50192572218,True,7.000317,803137085120268,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
SOL,244.63477623,81.78,B,1732550008765,2024-11-25 23:53:28.765,81.81,Open Long,0.0,0xed96efc6b3037e195a1d0417afa03a01b200822bb4cde7f8ee6bab8380276986,50192614904,True,7.002181,871941152446416,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
ETH,3532.17244249,16.9892,B,1732550181676,2024-11-25 23:56:21.676,0.0,Open Long,0.0,0xf944941b589398549f450417afaaea02019700a795e19e681e6e7676001a70b0,50193472738,True,21.003072,195312351955895,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
SOL,244.71249649,163.59,A,1732550731989,2024-11-26 00:05:31.989,163.59,Close Long,25.388593,0xdec7fec1c3eba22059610417afccd30201fa00432c2c185ea17b4f339d7c1bbf,50196875324,True,14.01138,371237980978087,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
ETH,3515.77429308,16.9892,A,1732551868681,2024-11-26 00:24:28.681,16.9892,Close Long,-278.549944,0xd56cef52aa1068a91ff40417b012fe020168005467e27217b386b833832d5244,50203546529,True,20.905565,280024153918819,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
kBONK,0.044624,44825.0,A,1732554810416,2024-11-26 01:13:30.416,0.0,Open Short,0.0,0x5eef53b4c37fe0e0c1a80417b0c89a0201560021c9da94991d984e319c68ba30,50218779172,True,0.700093,104950004867610,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
WIF,3.19992901,624.0,A,1732554851035,2024-11-26 01:14:11.035,0.0,Open Short,0.0,0x43496fefd49169a18a6e0417b0cb230201a4001afe6b0c14c9876a6621908ba1,50218952108,True,0.698864,985004691328256,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
POPCAT,1.32888497,1504.0,A,1732554876177,2024-11-26 01:14:36.177,0.0,Open Short,0.0,0xc61d6130a055f12c3b770417b0ccb202013c0086c99dfb7bdecb9b9ab362c637,50219073009,True,0.699524,1112820220243022,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
ETH,3439.0,1.745,A,1732556309718,2024-11-26 01:38:29.718,0.0,Open Short,0.0,0xb45a31ec5bbe64d4fc680417b1255101e200ef72b653743e8c0f4f5da1ec0147,50227088078,True,2.100368,170624059725105,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
POPCAT,1.32355691,1504.0,B,1732557930782,2024-11-26 02:05:30.782,-1504.0,Close Short,8.011936,0x4fa320d13b6f2c677f740417b1891a0201e5006c390a351d0b217e3642431090,50234358066,True,0.696719,898166692925813,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
WIF,3.184,624.0,B,1732557930982,2024-11-26 02:05:30.982,-624.0,Close Short,9.939696,0xe6da5b51d9d279298df80417b1891d0201a40087438538dc2ac25a52b7a064c2,50234359614,True,0.695385,663061551488162,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
kBONK,0.044153,44825.0,B,1732558131384,2024-11-26 02:08:51.384,-44825.0,Close Short,21.112575,0xa2e7b0f32b00913336b70417b1958102014a00a2ede26a01838a1334f6310fd4,50235295285,True,0.692705,508044675144165,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
ETH,3481.4,1.745,B,1732558134240,2024-11-26 02:08:54.240,-1.745,Close Short,-73.991013,0x08dde30557fa98c4d76a0417b195ac0202a800d9e89a17040b29fa46b9e64fed,50235313004,True,2.126265,933709234777211,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
GRASS,2.79484976,357.7,B,1732567057014,2024-11-26 04:37:37.014,0.0,Open Long,0.0,0x8a032398af1cc61de5ff0417b3bad102016e009466c69c8811b887f39b834e60,50268396087,True,0.3499,718858657314469,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
SEI,0.64403226,9174.0,B,1732567973946,2024-11-26 04:52:53.946,0.0,Open Long,0.0,0xafe14c8d6c6a0d2169350417b3f339020316004b9ae822c4cb3f902949a5a886,50271864062,True,2.067922,1031394757746144,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
GRASS,2.82564649,2126.7,B,1732568583490,2024-11-26 05:03:03.490,357.7,Open Long,0.0,0xcb402b9d14ed155561550417b4189a0202660063773a5013a253a5b908dd7d59,50274364544,True,2.103254,218516260315706,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
GRASS,2.82661507,2484.4,A,1732568846432,2024-11-26 05:07:26.432,2484.4,Close Long,13.428356,0x9ea1259f7c870469eaea0417b428d001a900ece4fab5ca1bd7c97d184a3433e8,50275337527,True,2.457851,83622395543075,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
SEI,0.63221539,9174.0,A,1732568846680,2024-11-26 05:07:26.680,9174.0,Close Long,-108.405608,0x3bd0c08e02da4301bd830417b428d40183004f106630da77d992c413d40b033e,50275338069,True,2.029979,960050253413484,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
XRP,1.3897,1800.0,A,1732574301027,2024-11-26 06:38:21.027,0.0,Open Short,0.0,0xa966b72ad9ab1923c4930417b5792402023a005e87f604e5f3dcdacf98998939,50298599534,True,0.87551,646279074599673,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
XLM,0.47841,5225.0,A,1732574339034,2024-11-26 06:38:59.034,0.0,Open Short,0.0,0x62feffed44711bbe28040417b57b810201170093c594fb4e3a55ee86870bdf98,50298714428,True,0.874892,868544879475965,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
XLM,0.48154045,5225.0,B,1732574620516,2024-11-26 06:43:40.516,-5225.0,Close Short,-16.3566,0xc2470dd73f0ed0bfb7cf0417b58cf601be00cd18ee59671e4ab4ab72b94d67e8,50299506256,True,0.880615,120124893166950,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
GRASS,2.75598026,909.2,B,1732574759616,2024-11-26 06:45:59.616,0.0,Open Long,0.0,0x6f11eb2cb4a868fff2a60417b5958e01db004ab1be92bf52e57ecf9e4aa9bfd2,50299772469,True,0.877007,214572209891348,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
GRASS,2.75156016,909.2,A,1732575772694,2024-11-26 07:02:52.694,909.2,Close Long,-4.018516,0xb69e3e4fb1b1bd2080a00417b5d40802014800f21c3e7acecd818e0d444a3c91,50302874453,True,0.8756,99956689025204,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
XRP,1.4216,1800.0,B,1732575963691,2024-11-26 07:06:03.691,-1800.0,Close Short,-57.42,0xaf40c0ae5081282dd9f90417b5dfc90201e500edcf7f9c0867aca23800ca81f7,50303903489,True,0.895608,258872722733834,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
GRASS,2.9017889,8623.5,B,1732581297213,2024-11-26 08:34:57.213,0.0,Open Long,0.0,0x0cae50cef4a1c292e7b30417b7290402013a0070002ad75460499482983add65,50329517245,True,8.75825,1118597515308437,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
GRASS,3.03783373,8623.5,A,1732612738418,2024-11-26 17:18:58.418,8623.5,Close Long,1173.25934,0x96ccc0b983b16f89fa6f0417beb72801a80033e888791b2187451fb8ad4dc448,50431869653,True,9.168856,370184803014874,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
XLM,0.450829,22162.0,A,1732613812668,2024-11-26 17:36:52.668,0.0,Open Short,0.0,0x27c020e8ed0d47abe7460417bef91c018a007fc4fc9d79c577c96edd84eab433,50436372691,True,3.496944,249200518355302,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
DOT,7.82493604,1277.6,A,1732618600990,2024-11-26 18:56:40.990,0.0,Open Short,0.0,0x25abb3d453641b19d3040417c01fea01a400ac72ec74eec0ef582a063d6f83b1,50459749153,True,3.498996,104207151967275,USDC,,0x9806cc1f2c62e6b6a0c2899358db04641f6031ed,,
